,career,income
0,2,5
1,1,2
2,2,5
3,2,5
4,1,2
5,2,5
6,2,5
7,2,5
8,2,5
9,2,5
10,0,1
11,2,5
12,2,5
13,2,5
14,1,2
15,2,5
16,2,5
17,2,5
18,2,5
19,2,5
20,1,2
21,2,5
22,2,5
23,2,5
24,1,2
25,2,5
26,2,5
27,0,1
28,2,5
29,2,5
30,2,5
31,2,5
32,2,5
33,2,5
34,2,5
35,2,5
36,2,5
37,1,2
38,2,5
39,2,5
40,2,5
41,2,5
42,2,5
43,2,5
44,0,1
45,2,5
46,2,5
47,2,5
48,2,5
49,2,5
50,2,5
51,0,1
52,2,5
53,0,1
54,2,5
55,2,5
56,2,5
57,2,5
58,2,5
59,2,5
60,2,5
61,2,5
62,2,5
63,1,2
64,1,2
65,2,5
66,2,5
67,2,5
68,2,5
69,2,5
70,2,5
71,1,2
72,2,5
73,0,1
74,1,2
75,2,5
76,2,5
77,2,5
78,2,5
79,2,5
80,2,5
81,2,5
82,0,1
83,2,5
84,2,5
85,2,5
86,2,5
87,0,1
88,2,5
89,2,5
90,2,5
91,1,2
92,2,5
93,2,5
94,2,5
95,2,5
96,2,5
97,2,5
98,2,5
99,2,5
100,1,2
101,2,5
102,2,5
103,2,5
104,2,5
105,0,1
106,2,5
107,2,5
108,2,5
109,0,1
110,2,5
111,1,2
112,0,1
113,1,2
114,2,5
115,0,1
116,2,5
117,2,5
118,2,5
119,2,5
120,2,5
121,2,5
122,2,5
123,1,2
124,1,2
125,1,2
126,2,5
127,2,5
128,2,5
129,2,5
130,1,2
131,1,2
132,2,5
133,2,5
134,1,2
135,2,5
136,2,5
137,2,5
138,2,5
139,2,5
140,2,5
141,2,5
142,0,1
143,2,5
144,2,5
145,2,5
146,0,1
147,2,5
148,2,5
149,2,5
150,0,1
151,2,5
152,1,2
153,2,5
154,0,1
155,2,5
156,2,5
157,2,5
158,2,5
159,0,1
160,2,5
161,2,5
162,1,2
163,2,5
164,2,5
165,2,5
166,1,2
167,2,5
168,2,5
169,2,5
170,0,1
171,2,5
172,2,5
173,2,5
174,1,2
175,2,5
176,2,5
177,2,5
178,2,5
179,2,5
180,2,5
181,1,2
182,0,1
183,0,1
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,0,1
190,2,5
191,2,5
192,2,5
193,2,5
194,2,5
195,0,1
196,1,2
197,2,5
198,0,1
199,1,2
200,1,2
201,1,2
202,2,5
203,2,5
204,2,5
205,1,2
206,2,5
207,2,5
208,0,1
209,2,5
210,2,5
211,0,1
212,2,5
213,2,5
214,2,5
215,2,5
216,2,5
217,1,2
218,2,5
219,2,5
220,2,5
221,1,2
222,2,5
223,1,2
224,2,5
225,2,5
226,2,5
227,2,5
228,0,1
229,2,5
230,2,5
231,0,1
232,2,5
233,1,2
234,2,5
235,1,2
236,2,5
237,2,5
238,1,2
239,1,2
240,0,1
241,2,5
242,2,5
243,2,5
244,2,5
245,2,5
246,2,5
247,1,2
248,2,5
249,2,5
250,2,5
251,1,2
252,2,5
253,1,2
254,2,5
255,2,5
256,2,5
257,2,5
258,2,5
259,1,2
260,2,5
261,1,2
262,1,2
263,0,1
264,2,5
265,1,2
266,0,1
267,2,5
268,2,5
269,0,1
270,2,5
271,1,2
272,0,1
273,2,5
274,2,5
275,2,5
276,0,1
277,2,5
278,2,5
279,1,2
280,1,2
281,2,5
282,2,5
283,2,5
284,2,5
285,0,1
286,2,5
287,1,2
288,0,1
289,1,2
290,2,5
291,2,5
292,0,1
293,2,5
294,2,5
295,2,5
296,2,5
297,1,2
298,2,5
299,2,5
300,1,2
301,2,5
302,0,1
303,2,5
304,2,5
305,2,5
306,0,1
307,2,5
308,2,5
309,2,5
310,1,2
311,0,1
312,2,5
313,2,5
314,2,5
315,2,5
316,2,5
317,2,5
318,2,5
319,2,5
320,0,1
321,2,5
322,2,5
323,2,5
324,1,2
325,0,1
326,1,2
327,2,5
328,2,5
329,2,5
330,2,5
331,1,2
332,1,2
333,1,2
334,2,5
335,2,5
336,2,5
337,0,1
338,2,5
339,2,5
340,2,5
341,2,5
342,2,5
343,2,5
344,2,5
345,0,1
346,2,5
347,2,5
348,2,5
349,2,5
350,2,5
351,1,2
352,1,2
353,2,5
354,0,1
355,0,1
356,2,5
357,2,5
358,2,5
359,2,5
360,2,5
361,2,5
362,2,5
363,2,5
364,0,1
365,2,5
366,2,5
367,2,5
368,2,5
369,0,1
370,2,5
371,1,2
372,1,2
373,1,2
374,2,5
375,1,2
376,2,5
377,2,5
378,2,5
379,2,5
380,1,2
381,2,5
382,0,1
383,0,1
384,2,5
385,2,5
386,2,5
387,1,2
388,2,5
389,2,5
390,2,5
391,2,5
392,2,5
393,2,5
394,2,5
395,0,1
396,2,5
397,2,5
398,2,5
399,2,5
400,2,5
401,2,5
402,2,5
403,2,5
404,1,2
405,1,2
406,1,2
407,2,5
408,2,5
409,2,5
410,0,1
411,2,5
412,2,5
413,0,1
414,2,5
415,2,5
416,2,5
417,2,5
418,2,5
419,2,5
420,1,2
421,2,5
422,2,5
423,2,5
424,2,5
425,1,2
426,2,5
427,2,5
428,2,5
429,2,5
430,2,5
431,2,5
432,2,5
433,2,5
434,2,5
435,2,5
436,2,5
437,1,2
438,2,5
439,2,5
440,2,5
441,1,2
442,2,5
443,1,2
444,0,1
445,2,5
446,2,5
447,2,5
448,1,2
449,2,5
450,2,5
451,2,5
452,2,5
453,2,5
454,2,5
455,2,5
456,0,1
457,2,5
458,1,2
459,2,5
460,2,5
461,2,5
462,0,1
463,1,2
464,2,5
465,1,2
466,0,1
467,2,5
468,1,2
469,1,2
470,2,5
471,2,5
472,2,5
473,2,5
474,2,5
475,2,5
476,2,5
477,2,5
478,2,5
479,2,5
480,2,5
481,2,5
482,1,2
483,2,5
484,2,5
485,2,5
486,2,5
487,1,2
488,2,5
489,2,5
490,1,2
491,2,5
492,2,5
493,2,5
494,2,5
495,2,5
496,2,5
497,2,5
498,2,5
499,2,5
