,Product,Name,Type,Coeff,Unit,Northshore,United,Hibbing,Minorca,Tilden
0,std_taconite_pellets,Latitude,location,constant,deg N,47.29415278,47.34858889,47.53,47.55833333,46.48333333
1,std_taconite_pellets,Longitude,location,constant,deg E,-91.25649444,-92.58361944,-92.91,-92.525,-87.66666667
2,std_taconite_pellets,Crude ore processed,capacity,constant,wltpy,17000000.0,15000000.0,24000000.0,8600000.0,20500000.0
3,std_taconite_pellets,Ore pellets produced,capacity,constant,wltpy,4540000.0,4600000.0,6300000.0,2790000.0,7700000.0
4,std_taconite_pellets,Estimated Reserves,capacity,constant,mlt,1158.0,774.6,109.0,109.7,520.0
5,std_taconite_pellets,Buildings and other structures,capital,constant,2021 $,802586723.3,782080397.9,1078561311.0,552238204.9,1340439971.0
6,std_taconite_pellets,Mineral exploration and development,capital,constant,2021 $,92838867.94,90466807.72,124762107.6,63879912.64,155054807.0
7,std_taconite_pellets,Mineral land and rights,capital,constant,2021 $,1041461.66,1014852.01,1399574.925,716601.5841,1739396.873
8,std_taconite_pellets,Mining,variable opex,constant,2021 $ per wlt pellet,16.875,15.49,19.87,16.84,15.3
9,std_taconite_pellets,Processing,variable opex,constant,2021 $ per wlt pellet,40.135,37.62,34.57,45.56,42.79
10,std_taconite_pellets,Site administration,variable opex,constant,2021 $ per wlt pellet,2.37,2.14,2.3,2.2,2.84
11,std_taconite_pellets,New equipment purchases,variable opex,constant,2021 $ per wlt pellet,4.2,4.46,4.54,5.63,4.65
12,std_taconite_pellets,General/other,variable opex,constant,2021 $ per wlt pellet,8.165,9.29,8.2,10.1,5.07
13,drg_taconite_pellets,Latitude,location,constant,deg N,47.29415278,47.34858889,47.53,47.55833333,46.48333333
14,drg_taconite_pellets,Longitude,location,constant,deg E,-91.25649444,-92.58361944,-92.91,-92.525,-87.66666667
15,drg_taconite_pellets,Crude ore processed,capacity,constant,wltpy,17000000.0,15000000.0,24000000.0,0.0,0.0
16,drg_taconite_pellets,Ore pellets produced,capacity,constant,wltpy,4540000.0,4600000.0,6300000.0,0.0,0.0
17,drg_taconite_pellets,Estimated Reserves,capacity,constant,mlt,1158.0,774.6,109.0,0.0,0.0
18,drg_taconite_pellets,Buildings and other structures,capital,constant,2021 $,1012588246.0,1118066189.0,949301480.9,0.0,0.0
19,drg_taconite_pellets,Mineral exploration and development,capital,constant,2021 $,117130702.2,129331817.0,109810033.3,0.0,0.0
20,drg_taconite_pellets,Mineral land and rights,capital,constant,2021 $,1313966.21,1450837.691,1231843.322,0.0,0.0
21,drg_taconite_pellets,Mining,variable opex,constant,2021 $ per wlt pellet,22.1175,26.60498583,22.58913891,0.0,0.0
22,drg_taconite_pellets,Processing,variable opex,constant,2021 $ per wlt pellet,43.8175,51.61628024,43.8251436,0.0,0.0
23,drg_taconite_pellets,Site administration,variable opex,constant,2021 $ per wlt pellet,4.515,5.521117114,4.687740946,0.0,0.0
24,drg_taconite_pellets,New equipment purchases,variable opex,constant,2021 $ per wlt pellet,4.2,4.46,4.54,0.0,0.0
25,drg_taconite_pellets,General/other,variable opex,constant,2021 $ per wlt pellet,15.8675,15.39868427,13.07435456,0.0,0.0
