id,name,code,item_ids/fixed_price,item_ids/product_id/id
pricelist_without_IVA,Tarifa pública,0IVA,26.03,somconnexio.ADSL20MB100MinFixMobile
,,,16.5289,somconnexio.IPv4Fixa
,,,28.1,somconnexio.Fibra100Mb
,,,35.5372,somconnexio.Fibra600Mb
,,,47.934,somconnexio.Fibra1Gb
,,,1.6529,somconnexio.SenseMinutsSenseDades
,,,2.8926,somconnexio.SenseMinuts500MB
,,,3.719,somconnexio.SenseMinuts1GB
,,,5.7851,somconnexio.SenseMinuts2GB
,,,9.0909,somconnexio.SenseMinuts10GB
,,,3.719,somconnexio.150MinSenseDades
,,,6.1983,somconnexio.150Min500MB
,,,5.79,somconnexio.150Min1GB
,,,8.2644,somconnexio.150Min2GB
,,,9.9173,somconnexio.150Min10GB
,,,15.7,somconnexio.TrucadesIllimitades50GB
,,,15.7,somconnexio.TrucadesIllimitades30GB
,,,9.92,somconnexio.TrucadesIllimitades10GB
,,,9.9174,somconnexio.TrucadesIllimitades2GB
,,,9.0909,somconnexio.TrucadesIllimitades1GB
,,,8.2644,somconnexio.TrucadesIllimitades500Mb
,,,7.438,somconnexio.TrucadesIllimitadesSenseDades
,,,5.4,somconnexio.50GBCompartides3mobils
,,,6.2,somconnexio.50GBCompartides2mobils
,,,34,somconnexio.Fibra300Mb
,,,31.5,somconnexio.SenseFixFibra300Mb
,,,8,somconnexio.TrucadesIllimitades20GBPack
,,,34,somconnexio.Router4G
,,,0.83,somconnexio.TarifaConserva
,,,26.03,somconnexio.ADSL20MBSenseFix
,,,28.09,somconnexio.ADSL20MB1000MinFix
,,,26.03,somconnexio.SenseFixFibra100Mb
,,,7.44,somconnexio.TrucadesIllimitades5GB
,,,10.74,somconnexio.TrucadesIllimitades20GB
pricelist_21_IVA,Tarifa amb IVA,21IVA,6.5,somconnexio.50GBCompartides3mobils
,,,7.5,somconnexio.50GBCompartides2mobils
,,,34,somconnexio.Fibra300Mb
,,,31.5,somconnexio.SenseFixFibra300Mb
,,,8,somconnexio.TrucadesIllimitades20GBPack
,,,43,somconnexio.Router4G
,,,31.5,somconnexio.ADSL20MBSenseFix
,,,31.5,somconnexio.SenseFixFibra100Mb
,,,9,somconnexio.TrucadesIllimitades5GB
,,,13,somconnexio.TrucadesIllimitades20GB
,,,9,somconnexio.TrucadesIllimitadesSenseDades
,,,10,somconnexio.TrucadesIllimitades500Mb
,,,11,somconnexio.TrucadesIllimitades1GB
,,,12,somconnexio.TrucadesIllimitades2GB
,,,12,somconnexio.TrucadesIllimitades10GB
,,,19,somconnexio.TrucadesIllimitades30GB
,,,19,somconnexio.TrucadesIllimitades50GB
,,,12,somconnexio.150Min10GB
,,,10,somconnexio.150Min2GB
,,,7,somconnexio.150Min1GB
,,,7.5,somconnexio.150Min500MB
,,,4.5,somconnexio.150MinSenseDades
,,,11,somconnexio.SenseMinuts10GB
,,,7,somconnexio.SenseMinuts2GB
,,,4.5,somconnexio.SenseMinuts1GB
,,,3.5,somconnexio.SenseMinuts500MB
,,,2,somconnexio.SenseMinutsSenseDades
,,,58,somconnexio.Fibra1Gb
,,,43,somconnexio.Fibra600Mb
,,,34,somconnexio.Fibra100Mb
,,,20,somconnexio.IPv4Fixa
,,,36,somconnexio.ADSL20MB100MinFixMobile
