id,nominal_diameter,course_pitch,fine_pitch
M4,0.004,0.0007,
M5,0.005,0.0008,
M6,0.006,0.001,
M8,0.008,0.00125,0.001
M10,0.01,0.0015,0.00125
M12,0.012,0.00175,0.0015
M14,0.014,0.002,0.0015
M16,0.016,0.002,0.0015
M18,0.018,0.0025,0.002
M20,0.02,0.0025,0.002
M22,0.022,0.0025,0.002
M24,0.024,0.003,0.002
M27,0.027,0.003,0.002
M30,0.03,0.0035,0.002
M33,0.033,0.0035,0.002
M36,0.036,0.004,0.003
M39,0.039,0.004,0.003
M42,0.042,0.0045,0.003
M45,0.045,0.0045,0.003
M48,0.048,0.005,0.003
M52,0.052,0.005,0.004
M56,0.056,0.0055,0.004
M60,0.06,0.0055,0.004
M64,0.064,0.006,0.004
M72,0.072,0.006,0.004
M80,0.08,0.006,0.004
M90,0.09,0.006,0.004
M100,0.1,0.006,0.004
